uid,hotspot_0,hotspot_1,hotspot_2
12143,26,-1,-1
12144,26,25,-1
12178,26,-1,-1
12204,26,-1,-1
12216,26,-1,-1
12218,26,-1,-1
12228,26,-1,-1
12233,26,-1,-1
12242,26,-1,-1
12270,26,-1,-1
12308,26,-1,-1
12314,26,-1,-1
12319,26,-1,-1
12321,26,-1,-1
12324,26,-1,-1
12328,26,-1,-1
12334,26,13,4
12335,26,-1,-1
12337,26,-1,-1
12341,26,-1,-1
12346,26,-1,-1
12355,26,-1,-1
12356,26,-1,-1
12372,26,-1,-1
12379,26,-1,-1
12383,26,22,-1
12387,26,-1,-1
12388,26,-1,-1
12390,26,-1,-1
12396,26,-1,-1
12398,26,-1,-1
12399,26,-1,-1
12413,26,-1,-1
12433,26,-1,-1
12434,26,-1,-1
12453,26,-1,-1
12472,26,-1,-1
12478,26,-1,-1
12482,26,-1,-1
12483,26,-1,-1
12484,26,-1,-1
12525,26,-1,-1
12528,26,-1,-1
12529,26,10,23
12553,26,-1,-1
12565,26,-1,-1
12587,26,-1,-1
12595,26,-1,-1
12608,26,-1,-1
12644,26,10,11
12664,26,-1,-1
12667,26,-1,-1
12670,26,17,-1
12683,26,-1,-1
12693,26,-1,-1
12695,26,-1,-1
12698,26,-1,-1
12707,26,-1,-1
12719,26,-1,-1
12729,26,-1,-1
12736,26,-1,-1
12742,26,-1,-1
12768,26,-1,-1
12770,26,-1,-1
12772,26,-1,-1
12785,26,-1,-1
12794,26,-1,-1
12796,26,-1,-1
12809,26,-1,-1
12811,26,-1,-1
12813,26,-1,-1
12830,26,-1,-1
12832,26,-1,-1
12842,26,-1,-1
12847,26,23,-1
12855,26,-1,-1
12859,26,23,-1
12878,26,-1,-1
12890,26,-1,-1
12897,26,-1,-1
12906,26,-1,-1
12919,26,-1,-1
12920,26,-1,-1
12921,26,-1,-1
12932,26,-1,-1
